npaths requested = 60
T0 = 31.250 ns
c_int_q launch collection size (incl ~DUPLICATE): 1
paths returned: 60

   #     slack   lvls  ownFmax  from                                         to
     0.268   21.793 ic     SYS    emu|system_large|u_core|u_biu|always2~16|dataf
     0.094   21.887 cell   SYS    emu|system_large|u_core|u_biu|always2~16|combout
     0.289   22.176 ic     SYS    emu|system_large|u_core|u_biu|LessThan19~0|dataf
     0.089   22.265 cell   SYS    emu|system_large|u_core|u_biu|LessThan19~0|combout
     0.274   22.539 ic     SYS    emu|system_large|u_core|u_biu|always2~19|dataf
     0.096   22.635 cell   SYS    emu|system_large|u_core|u_biu|always2~19|combout
     0.815   23.450 ic     SYS    emu|system_large|u_core|u_biu|always2~23|datad
     0.381   23.831 cell   SYS    emu|system_large|u_core|u_biu|always2~23|combout
     0.813   24.644 ic     SYS    emu|system_large|u_core|u_biu|slot_busy~1|dataf
     0.086   24.730 cell   SYS    emu|system_large|u_core|u_biu|slot_busy~1|combout
     1.031   25.761 ic     SYS    emu|system_large|u_core|u_biu|slot_busy~2|datac
     0.462   26.223 cell   SYS    emu|system_large|u_core|u_biu|slot_busy~2|combout
     1.508   27.731 ic     SYS    emu|system_large|u_core|u_eu|rd_pending[1]~1|datac
     0.440   28.171 cell   SYS    emu|system_large|u_core|u_eu|rd_pending[1]~1|combout
     0.219   28.390 ic     SYS    emu|system_large|u_core|u_eu|rd_pending~2|datab
     0.551   28.941 cell   SYS    emu|system_large|u_core|u_eu|rd_pending~2|combout
     0.000   28.941 ic     SYS    emu|system_large|u_core|u_eu|rd_pending[1]|d
     0.278   29.219 cell   EU     emu:emu|system_large:system_large|v30_core:u_core|v30u_eu:u_eu|rd_pending[1]

