npaths requested = 60
T0 = 31.250 ns
c_int_q launch collection size (incl ~DUPLICATE): 3
paths returned: 60

   #     slack   lvls  ownFmax  from                                         to
     0.220   22.722 ic     SYS    emu|system_large|u_core|u_biu|LessThan19~0|datad
     0.366   23.088 cell   SYS    emu|system_large|u_core|u_biu|LessThan19~0|combout
     0.212   23.300 ic     SYS    emu|system_large|u_core|u_biu|always2~19|datad
     0.379   23.679 cell   SYS    emu|system_large|u_core|u_biu|always2~19|combout
     0.716   24.395 ic     SYS    emu|system_large|u_core|u_biu|rq_bs~4|datad
     0.431   24.826 cell   SYS    emu|system_large|u_core|u_biu|rq_bs~4|combout
     0.548   25.374 ic     SYS    emu|system_large|u_core|u_biu|slot_accept~1|datac
     0.494   25.868 cell   SYS    emu|system_large|u_core|u_biu|slot_accept~1|combout
     1.768   27.636 ic     SYS    emu|system_large|u_core|u_biu|slot_busy~2|datad
     0.439   28.075 cell   SYS    emu|system_large|u_core|u_biu|slot_busy~2|combout
     0.366   28.441 ic     SYS    emu|system_large|u_core|u_eu|rd_pending[1]~1|dataf
     0.092   28.533 cell   SYS    emu|system_large|u_core|u_eu|rd_pending[1]~1|combout
     1.935   30.468 ic     SYS    emu|system_large|u_core|u_eu|rd_pending~3|datab
     0.548   31.016 cell   SYS    emu|system_large|u_core|u_eu|rd_pending~3|combout
     0.000   31.016 ic     SYS    emu|system_large|u_core|u_eu|rd_pending[0]|d
     0.262   31.278 cell   EU     emu:emu|system_large:system_large|v30_core:u_core|v30u_eu:u_eu|rd_pending[0]

