npaths requested = 60
T0 = 31.250 ns
c_int_q launch collection size (incl ~DUPLICATE): 1
paths returned: 60

   #     slack   lvls  ownFmax  from                                         to
     0.701   20.753 ic     SYS    emu|system_large|u_core|u_biu|always2~12|dataf
     0.092   20.845 cell   SYS    emu|system_large|u_core|u_biu|always2~12|combout
     0.577   21.422 ic     SYS    emu|system_large|u_core|u_biu|cmt_noaddr~0|datad
     0.356   21.778 cell   SYS    emu|system_large|u_core|u_biu|cmt_noaddr~0|combout
     0.261   22.039 ic     SYS    emu|system_large|u_core|u_biu|always2~15|datad
     0.385   22.424 cell   SYS    emu|system_large|u_core|u_biu|always2~15|combout
     0.858   23.282 ic     SYS    emu|system_large|u_core|u_biu|always2~16|datad
     0.435   23.717 cell   SYS    emu|system_large|u_core|u_biu|always2~16|combout
     0.284   24.001 ic     SYS    emu|system_large|u_core|u_biu|LessThan19~0|dataf
     0.095   24.096 cell   SYS    emu|system_large|u_core|u_biu|LessThan19~0|combout
     0.234   24.330 ic     SYS    emu|system_large|u_core|u_biu|always2~19|dataf
     0.094   24.424 cell   SYS    emu|system_large|u_core|u_biu|always2~19|combout
     0.862   25.286 ic     SYS    emu|system_large|u_core|u_biu|always2~23|dataf
     0.096   25.382 cell   SYS    emu|system_large|u_core|u_biu|always2~23|combout
     0.967   26.349 ic     SYS    emu|system_large|u_core|u_biu|slot_busy~1|dataf
     0.082   26.431 cell   SYS    emu|system_large|u_core|u_biu|slot_busy~1|combout
     0.239   26.670 ic     SYS    emu|system_large|u_core|u_eu|Selector969~1|datae
     0.221   26.891 cell   SYS    emu|system_large|u_core|u_eu|Selector969~1|combout
     0.984   27.875 ic     SYS    emu|system_large|u_core|u_eu|Selector969~2|dataf
     0.079   27.954 cell   SYS    emu|system_large|u_core|u_eu|Selector969~2|combout
     0.305   28.259 ic     SYS    emu|system_large|u_core|u_eu|Selector969~3|dataf
     0.079   28.338 cell   SYS    emu|system_large|u_core|u_eu|Selector969~3|combout
     1.389   29.727 ic     SYS    emu|system_large|u_core|u_eu|row_posted_n~1|dataf
     0.082   29.809 cell   SYS    emu|system_large|u_core|u_eu|row_posted_n~1|combout
     0.237   30.046 ic     SYS    emu|system_large|u_core|u_eu|row_posted_n~2|dataf
     0.079   30.125 cell   SYS    emu|system_large|u_core|u_eu|row_posted_n~2|combout
     1.021   31.146 ic     SYS    emu|system_large|u_core|u_eu|row_posted_n~4|dataf
     0.077   31.223 cell   SYS    emu|system_large|u_core|u_eu|row_posted_n~4|combout
     0.000   31.223 ic     SYS    emu|system_large|u_core|u_eu|row_posted|d
     0.260   31.483 cell   EU     emu:emu|system_large:system_large|v30_core:u_core|v30u_eu:u_eu|row_posted

