npaths requested = 60
T0 = 31.250 ns
c_int_q launch collection size (incl ~DUPLICATE): 1
paths returned: 60

   #     slack   lvls  ownFmax  from                                         to
     0.249   21.137 ic     SYS    emu|system_large|u_core|u_biu|always2~14|dataf
     0.097   21.234 cell   SYS    emu|system_large|u_core|u_biu|always2~14|combout
     0.284   21.518 ic     SYS    emu|system_large|u_core|u_biu|cdage~2|dataf
     0.090   21.608 cell   SYS    emu|system_large|u_core|u_biu|cdage~2|combout
     0.260   21.868 ic     SYS    emu|system_large|u_core|u_biu|always2~16|datae
     0.253   22.121 cell   SYS    emu|system_large|u_core|u_biu|always2~16|combout
     0.255   22.376 ic     SYS    emu|system_large|u_core|u_biu|rq_bs~5|datac
     0.408   22.784 cell   SYS    emu|system_large|u_core|u_biu|rq_bs~5|combout
     0.249   23.033 ic     SYS    emu|system_large|u_core|u_biu|r_rq_noaddr[1]~0|dataf
     0.096   23.129 cell   SYS    emu|system_large|u_core|u_biu|r_rq_noaddr[1]~0|combout
     0.228   23.357 ic     SYS    emu|system_large|u_core|u_biu|slot_accept~0|dataf
     0.081   23.438 cell   SYS    emu|system_large|u_core|u_biu|slot_accept~0|combout
     1.913   25.351 ic     SYS    emu|system_large|u_core|u_eu|Selector969~1|datae
     0.300   25.651 cell   SYS    emu|system_large|u_core|u_eu|Selector969~1|combout
     0.928   26.579 ic     SYS    emu|system_large|u_core|u_eu|Selector969~2|dataf
     0.081   26.660 cell   SYS    emu|system_large|u_core|u_eu|Selector969~2|combout
     0.332   26.992 ic     SYS    emu|system_large|u_core|u_eu|Selector969~3|dataf
     0.081   27.073 cell   SYS    emu|system_large|u_core|u_eu|Selector969~3|combout
     0.527   27.600 ic     SYS    emu|system_large|u_core|u_eu|row_posted_n~2|dataf
     0.082   27.682 cell   SYS    emu|system_large|u_core|u_eu|row_posted_n~2|combout
     0.228   27.910 ic     SYS    emu|system_large|u_core|u_eu|row_posted_n~3|dataf
     0.079   27.989 cell   SYS    emu|system_large|u_core|u_eu|row_posted_n~3|combout
     0.351   28.340 ic     SYS    emu|system_large|u_core|u_eu|row_posted_n~4|dataf
     0.077   28.417 cell   SYS    emu|system_large|u_core|u_eu|row_posted_n~4|combout
     0.000   28.417 ic     SYS    emu|system_large|u_core|u_eu|row_posted|d
     0.260   28.677 cell   EU     emu:emu|system_large:system_large|v30_core:u_core|v30u_eu:u_eu|row_posted

