80.7: 500/500 full  (cycles 500, arch 500)
81.0: 500/500 full  (cycles 500, arch 500)
81.1: 500/500 full  (cycles 500, arch 500)
81.2: 500/500 full  (cycles 500, arch 500)
81.3: 500/500 full  (cycles 500, arch 500)
81.4: 500/500 full  (cycles 500, arch 500)
81.5: 500/500 full  (cycles 500, arch 500)
81.6: 500/500 full  (cycles 500, arch 500)
81.7: 500/500 full  (cycles 500, arch 500)
83.0: 500/500 full  (cycles 500, arch 500)
83.1: 500/500 full  (cycles 500, arch 500)
83.2: 500/500 full  (cycles 500, arch 500)
83.3: 500/500 full  (cycles 500, arch 500)
83.4: 500/500 full  (cycles 500, arch 500)
83.5: 500/500 full  (cycles 500, arch 500)
83.6: 500/500 full  (cycles 500, arch 500)
83.7: 500/500 full  (cycles 500, arch 500)
84: 500/500 full  (cycles 500, arch 500)
85: 500/500 full  (cycles 500, arch 500)
86: 500/500 full  (cycles 500, arch 500)
87: 500/500 full  (cycles 500, arch 500)
88: 500/500 full  (cycles 500, arch 500)
89: 500/500 full  (cycles 500, arch 500)
8A: 500/500 full  (cycles 500, arch 500)
8B: 500/500 full  (cycles 500, arch 500)
8C: 500/500 full  (cycles 500, arch 500)
8D: 500/500 full  (cycles 500, arch 500)
8E: 500/500 full  (cycles 500, arch 500)
8F.0: 500/500 full  (cycles 500, arch 500)
90: 500/500 full  (cycles 500, arch 500)
91: 500/500 full  (cycles 500, arch 500)
92: 500/500 full  (cycles 500, arch 500)
93: 500/500 full  (cycles 500, arch 500)
94: 500/500 full  (cycles 500, arch 500)
95: 500/500 full  (cycles 500, arch 500)
96: 500/500 full  (cycles 500, arch 500)
97: 500/500 full  (cycles 500, arch 500)
98: 500/500 full  (cycles 500, arch 500)
99: 500/500 full  (cycles 500, arch 500)
9A: 500/500 full  (cycles 500, arch 500)
9C: 500/500 full  (cycles 500, arch 500)
9D: 500/500 full  (cycles 500, arch 500)
9E: 500/500 full  (cycles 500, arch 500)
9F: 500/500 full  (cycles 500, arch 500)
A0: 500/500 full  (cycles 500, arch 500)
A1: 500/500 full  (cycles 500, arch 500)
A2: 500/500 full  (cycles 500, arch 500)
A3: 500/500 full  (cycles 500, arch 500)
A4: 500/500 full  (cycles 500, arch 500)
A5: 500/500 full  (cycles 500, arch 500)
A6: 500/500 full  (cycles 500, arch 500)
A7: 500/500 full  (cycles 500, arch 500)
A8: 500/500 full  (cycles 500, arch 500)
A9: 500/500 full  (cycles 500, arch 500)
AA: 500/500 full  (cycles 500, arch 500)
AB: 500/500 full  (cycles 500, arch 500)
AC: 500/500 full  (cycles 500, arch 500)
AD: 500/500 full  (cycles 500, arch 500)
AE: 500/500 full  (cycles 500, arch 500)
AF: 500/500 full  (cycles 500, arch 500)
B0: 500/500 full  (cycles 500, arch 500)
B8: 500/500 full  (cycles 500, arch 500)
C0.0: 500/500 full  (cycles 500, arch 500)
C0.1: 500/500 full  (cycles 500, arch 500)
C0.2: 500/500 full  (cycles 500, arch 500)
C0.3: 500/500 full  (cycles 500, arch 500)
C0.4: 500/500 full  (cycles 500, arch 500)
C0.5: 500/500 full  (cycles 500, arch 500)
C0.6: 500/500 full  (cycles 500, arch 500)
C0.7: 500/500 full  (cycles 500, arch 500)
C1.0: 500/500 full  (cycles 500, arch 500)
C1.1: 500/500 full  (cycles 500, arch 500)
C1.2: 500/500 full  (cycles 500, arch 500)
C1.3: 500/500 full  (cycles 500, arch 500)
C1.4: 500/500 full  (cycles 500, arch 500)
C1.5: 500/500 full  (cycles 500, arch 500)
  C1.6: 1 collision-dependent golden(s) validated under +mirror (64K RAM, as captured): idx [205]
C1.6: 500/500 full  (cycles 500, arch 500)
C1.7: 500/500 full  (cycles 500, arch 500)
C2: 500/500 full  (cycles 500, arch 500)
C3: 500/500 full  (cycles 500, arch 500)
C4: 500/500 full  (cycles 500, arch 500)
C5: 500/500 full  (cycles 500, arch 500)
C6.0: 500/500 full  (cycles 500, arch 500)
C7.0: 500/500 full  (cycles 500, arch 500)
C8: 500/500 full  (cycles 500, arch 500)
C9: 500/500 full  (cycles 500, arch 500)
CA: 500/500 full  (cycles 500, arch 500)
CB: 500/500 full  (cycles 500, arch 500)
CC: 500/500 full  (cycles 500, arch 500)
CD: 500/500 full  (cycles 500, arch 500)
CE: 500/500 full  (cycles 500, arch 500)
CF: 500/500 full  (cycles 500, arch 500)
D0.0: 500/500 full  (cycles 500, arch 500)
D0.1: 500/500 full  (cycles 500, arch 500)
D0.2: 500/500 full  (cycles 500, arch 500)
D0.3: 500/500 full  (cycles 500, arch 500)
D0.4: 500/500 full  (cycles 500, arch 500)
D0.5: 500/500 full  (cycles 500, arch 500)
D0.6: 500/500 full  (cycles 500, arch 500)
D0.7: 500/500 full  (cycles 500, arch 500)
D1.0: 500/500 full  (cycles 500, arch 500)
D1.1: 500/500 full  (cycles 500, arch 500)
D1.2: 500/500 full  (cycles 500, arch 500)
