Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7, C8, C9",0603,15,100nF,C14663
"C16, C17, C18",0603,3,1uF,C15849
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R3, R4, R5, R6, R7, R8, R9",0603,28,10k,C25804
U1,DIP-40_W15.24mm_Socket,1,~,
"U10, U3, U4, U5, U6, U7",TSSOP-48_6.1x12.5mm_P0.5mm,6,74ALVC164245,C7128
"U2, U8",MODULE_P0496,2,~,
U9,PLCC-84_THT-Socket,1,~,
